player_id,year,date,week,team,location,opponent,result,started,rushing_attempts,rushing_yards,rushing_touchdowns,pass_targets,receptions,receiving_yards,receiving_touchdowns,conversions,fumbles_lost,fumble_touchdowns
PeteAd01,2009,2009-10-25,7,MIN,Away,PIT,L,False,18,69,1,4,4,60,0,0,0,0
PeteAd01,2009,2009-11-01,8,MIN,Away,GNB,W,True,25,97,1,2,1,44,0,0,0,0
PeteAd01,2009,2009-11-15,10,MIN,Home,DET,W,True,18,133,2,3,2,10,0,0,0,0
PeteAd01,2009,2009-11-22,11,MIN,Home,SEA,W,True,24,82,0,5,4,16,0,0,0,0
PeteAd01,2009,2009-11-29,12,MIN,Home,CHI,W,True,25,85,1,4,2,18,0,0,1,0
PeteAd01,2009,2009-12-06,13,MIN,Away,ARI,L,True,13,19,0,7,6,46,0,0,0,0
PeteAd01,2009,2009-12-13,14,MIN,Home,CIN,W,True,26,97,2,5,3,40,0,0,0,0
PeteAd01,2009,2009-12-20,15,MIN,Away,CAR,L,True,12,35,1,4,3,73,0,0,0,0
PeteAd01,2009,2009-12-28,16,MIN,Away,CHI,L,True,24,94,2,6,3,43,0,0,1,0
PeteAd01,2009,2010-01-03,17,MIN,Home,NYG,W,True,9,54,1,1,1,1,0,0,0,0
PeteAd01,2010,2010-09-09,1,MIN,Away,NOR,L,True,19,87,0,3,3,14,0,0,0,0
PeteAd01,2010,2010-09-19,2,MIN,Home,MIA,L,True,28,145,1,8,5,41,0,0,0,0
PeteAd01,2010,2010-09-26,3,MIN,Home,DET,W,True,23,160,2,7,5,30,0,0,0,0
PeteAd01,2010,2010-10-11,5,MIN,Away,NYJ,L,True,18,88,0,3,1,20,0,0,0,0
PeteAd01,2010,2010-10-17,6,MIN,Home,DAL,W,True,24,73,1,1,1,-2,0,0,0,0
PeteAd01,2010,2010-10-24,7,MIN,Away,GNB,L,True,28,131,1,2,2,41,0,0,0,0
PeteAd01,2010,2010-10-31,8,MIN,Away,NWE,L,True,25,92,1,6,5,50,0,0,0,0
PeteAd01,2010,2010-11-07,9,MIN,Home,ARI,W,True,15,81,1,4,4,63,1,0,0,0
PeteAd01,2010,2010-11-14,10,MIN,Away,CHI,L,True,17,51,0,7,4,24,0,0,0,0
PeteAd01,2010,2010-11-21,11,MIN,Home,GNB,L,True,14,72,0,4,1,16,0,0,0,0
PeteAd01,2010,2010-11-28,12,MIN,Away,WAS,W,True,6,36,1,1,1,34,0,0,0,0
PeteAd01,2010,2010-12-05,13,MIN,Home,BUF,W,True,16,107,3,1,1,1,0,0,0,0
PeteAd01,2010,2010-12-13,14,MIN,Home,NYG,L,True,14,26,0,0,0,0,0,0,0,0
PeteAd01,2010,2010-12-28,16,MIN,Away,PHI,W,True,22,118,1,1,1,11,0,0,1,0
PeteAd01,2010,2011-01-02,17,MIN,Away,DET,L,True,14,31,0,2,2,-2,0,0,0,0
PeteAd01,2011,2011-09-11,1,MIN,Away,SDG,L,True,16,98,0,3,2,6,0,0,0,0
PeteAd01,2011,2011-09-18,2,MIN,Home,TAM,L,True,25,120,2,3,2,21,0,0,0,0
PeteAd01,2011,2011-09-25,3,MIN,Home,DET,L,True,17,78,1,5,4,19,0,0,0,0
PeteAd01,2011,2011-10-02,4,MIN,Away,KAN,L,True,23,80,0,1,1,3,0,0,0,0
PeteAd01,2011,2011-10-09,5,MIN,Home,ARI,W,True,29,122,3,0,0,0,0,0,0,0
PeteAd01,2011,2011-10-16,6,MIN,Away,CHI,L,True,12,39,1,1,1,0,0,0,0,0
PeteAd01,2011,2011-10-23,7,MIN,Home,GNB,L,True,24,175,1,1,1,0,0,0,0,0
PeteAd01,2011,2011-10-30,8,MIN,Away,CAR,W,True,20,83,1,5,5,76,1,0,0,0
PeteAd01,2011,2011-11-14,10,MIN,Away,GNB,L,True,14,51,1,1,0,0,0,0,0,0
PeteAd01,2011,2011-11-20,11,MIN,Home,OAK,L,True,6,26,1,0,0,0,0,0,0,0
PeteAd01,2011,2011-12-18,15,MIN,Home,NOR,L,True,10,60,0,1,0,0,0,0,0,0
PeteAd01,2011,2011-12-24,16,MIN,Away,WAS,W,True,12,38,1,3,2,14,0,0,0,0
PeteAd01,2012,2012-09-09,1,MIN,Home,JAX,W,True,17,84,2,1,1,3,0,0,0,0
PeteAd01,2012,2012-09-16,2,MIN,Away,IND,L,True,16,60,0,3,3,20,0,0,0,0
PeteAd01,2012,2012-09-23,3,MIN,Home,SFO,W,True,25,86,0,4,2,21,0,0,0,0
PeteAd01,2012,2012-09-30,4,MIN,Away,DET,W,True,21,102,0,4,4,20,0,0,0,0
PeteAd01,2012,2012-10-07,5,MIN,Home,TEN,W,True,17,88,0,3,3,15,0,0,0,0
PeteAd01,2012,2012-10-14,6,MIN,Away,WAS,L,True,17,79,0,8,7,50,0,0,0,0
PeteAd01,2012,2012-10-21,7,MIN,Home,ARI,W,True,23,153,1,4,2,6,0,0,0,0
PeteAd01,2012,2012-10-25,8,MIN,Home,TAM,L,True,15,123,1,1,1,4,0,0,1,0
PeteAd01,2012,2012-11-04,9,MIN,Away,SEA,L,True,17,182,2,4,3,11,0,0,0,0
PeteAd01,2012,2012-11-11,10,MIN,Home,DET,W,True,27,171,1,4,3,5,0,1,0,0
PeteAd01,2012,2012-11-25,12,MIN,Away,CHI,L,True,18,108,0,7,6,30,0,0,1,0
PeteAd01,2012,2012-12-02,13,MIN,Away,GNB,L,True,21,210,1,2,1,10,0,0,0,0
PeteAd01,2012,2012-12-09,14,MIN,Home,CHI,W,True,31,154,2,2,2,16,0,0,0,0
PeteAd01,2012,2012-12-16,15,MIN,Away,STL,W,True,24,212,1,0,0,0,0,0,0,0
PeteAd01,2012,2012-12-23,16,MIN,Away,HOU,W,True,25,86,0,2,1,4,0,0,0,0
PeteAd01,2012,2012-12-30,17,MIN,Home,GNB,W,True,34,199,1,2,1,2,1,0,0,0
PeteAd01,2013,2013-09-08,1,MIN,Away,DET,L,True,18,93,2,4,4,18,1,0,0,0
PeteAd01,2013,2013-09-15,2,MIN,Away,CHI,L,True,26,100,0,2,1,7,0,0,1,0
PeteAd01,2013,2013-09-22,3,MIN,Home,CLE,L,True,25,88,1,6,6,27,0,0,1,0
PeteAd01,2013,2013-09-29,4,MIN,Home,PIT,W,True,23,140,2,1,0,0,0,0,0,0
PeteAd01,2013,2013-10-13,6,MIN,Home,CAR,L,True,10,62,0,4,3,21,0,0,0,0
PeteAd01,2013,2013-10-21,7,MIN,Away,NYG,L,True,13,28,0,4,2,28,0,0,0,0
PeteAd01,2013,2013-10-27,8,MIN,Home,GNB,L,True,13,60,1,3,3,23,0,0,0,0
PeteAd01,2013,2013-11-03,9,MIN,Away,DAL,L,True,25,140,1,3,3,37,0,0,0,0
PeteAd01,2013,2013-11-07,10,MIN,Home,WAS,W,True,20,75,2,2,2,2,0,0,0,0
PeteAd01,2013,2013-11-17,11,MIN,Away,SEA,L,True,21,65,0,3,0,0,0,0,0,0
