id,name,team,team_abbr,position
DaviMi01,Mike Davis,Carolina Panthers,CAR,RB
CoopAm00,Amari Cooper,Dallas Cowboys,DAL,WR
TaylJo02,Jonathan Taylor,Indianapolis Colts,IND,RB
HendDa00,Darrell Henderson,Los Angeles Rams,LAR,RB
KuppCo00,Cooper Kupp,Los Angeles Rams,LAR,WR
McLaTe00,Terry McLaurin,Washington Football Team,WAS,WR
GrahJi00,Jimmy Graham,Chicago Bears,CHI,TE
RodgAa00,Aaron Rodgers,Green Bay Packers,GNB,QB
SandMi01,Miles Sanders,Philadelphia Eagles,PHI,RB
EdwaCl00,Clyde Edwards-Helaire,Kansas City Chiefs,KAN,RB
FitzRy00,Ryan Fitzpatrick,Miami Dolphins,MIA,QB
ChubNi00,Nick Chubb,Cleveland Browns,CLE,RB
GesiMi00,Mike Gesicki,Miami Dolphins,MIA,TE
SlayDa01,Darius Slayton,New York Giants,NYG,WR
WallDa01,Darren Waller,Las Vegas Raiders,LVR,TE
AlleKe00,Keenan Allen,Los Angeles Chargers,LAC,WR
CrowJa00,Jamison Crowder,New York Jets,NYJ,WR
ParkDe01,DeVante Parker,Miami Dolphins,MIA,WR
GordMe00,Melvin Gordon,Denver Broncos,DEN,RB
MoorD.00,D.J. Moore,Carolina Panthers,CAR,WR
BradTo00,Tom Brady,Tampa Bay Buccaneers,TAM,QB
McKiJe00,Jerick McKinnon,San Francisco 49ers,SFO,RB
HigbTy00,Tyler Higbee,Los Angeles Rams,LAR,TE
JeffJu00,Justin Jefferson,Minnesota Vikings,MIN,WR
SmitJo01,Jonnu Smith,Tennessee Titans,TEN,TE
ConnJa00,James Conner,Pittsburgh Steelers,PIT,RB
BoydTy00,Tyler Boyd,Cincinnati Bengals,CIN,WR
FantNo00,Noah Fant,Denver Broncos,DEN,TE
SandEm00,Emmanuel Sanders,New Orleans Saints,NOR,WR
WatsDe00,Deshaun Watson,Houston Texans,HOU,QB
GoffJa00,Jared Goff,Los Angeles Rams,LAR,QB
JackLa00,Lamar Jackson,Baltimore Ravens,BAL,QB
JohnDa08,David Johnson,Houston Texans,HOU,RB
